Donor,Type,Type of intervention,Details,Region,District,Community,Settlements,Institution,# residents,# beneficiaries,Cost UAH,GPS coordinates,Evidence,STATUS,Date,Select
UNICEF,WASH,Water tower,"Replacement of a water tower with a volume of 25 m³ and a height of 15 m, quantity of 1 unit.",Kharkivska,Kharkivskyi,Pisochynska,Korotych,,600,580,"461,000",49.946607. 36.049286,http://surl.li/sgzdt,Completed,6/26/2024,yes
UNICEF,WASH,Water tower,Replacement of the Rozhnovsky tower with a volume of 25 m³ and a height of 18 m.,Kharkivska,Berestynskyi,Kehychivska,Oleksandrivske,,600,520,"502,000",49.384068.35.899594,http://surl.li/sszqw,Completed,5/20/2024,
UNICEF,WASH,Water tower,Replacement of the Rozhnovsky tower with a volume of 50 m³ and a height of 25 m.,Kharkivska,Berestynskyi,Kehychivska,Kehychivka,,1200,960,"1,014,000",49.292075. 35.783249,http://surl.li/sszqq,Completed,7/14/2024,
UNICEF,WASH,Water tower,Replacement of the Rozhnovsky tower.,Kharkivska,Berestynskyi,Krasnohradska,Zoriane,,280,280,"411,000",49°26'34.8°N 35°25'46.9°E,http://surl.li/sszrz,Completed,5/29/2024,
UNICEF,WASH,Water tower,Replacement of a 25 m³ water tower with a quantity of 1 unit.,Kharkivska,Chuhuivskyi,Chuhuivska,Zarozhne,,700,490,"679,000",49.942417. 36.686931,http://surl.li/sszpn,Completed,10/16/2024,
UNICEF,WASH,Water tower,"Replacement of a 25 m³ water tower, quantity 1 unit.",Kharkivska,Chuhuivskyi,Chuhuivska,Velyka Babka,,700,470,"690,000","49°58'53.7""N 36°43'49.3""E",http://surl.li/sszqc,Completed,10/17/2024,
UNICEF,WASH,Water tower,"Installation of a 25 m³ water tower with a height of 15 m, quantity of 1 unit.",Kharkivska,Iziumskyi,Balakliiska,Petrivske,,1350,920,"875,000",49.113681. 36.922095,http://surl.li/stbjt,Completed,9/24/2024,
UNICEF,WASH,Water tower,Replacement of the Rozhnovsky tower. 15 m³,Kharkivska,Lozivskyi,Lozivska,Oleksandrivka,,150,150,"455,000","49°00'42.5""N 36°27'48.0""E",http://surl.li/sszrk,Completed,12/27/2024,
UNICEF,WASH,Water tower,Replacement of the Rozhnovsky tower with a volume of 15 m³ and a height of 15 m.,Kharkivska,Berestynskyi,Berestynska,Pershotravneve,,113,113,"436,000",49.7030150. 35.3608250,http://surl.li/sszte,Completed,12/3/2024,
LDS,WASH,Water tower,Water tower | ≤ v28m³ | ht 19.3m,Kharkivska,Lozivskyi,Oleksiivska,Oleksiivka,,1448,700,"670,000","49.39872° N, 36.27850° E",https://surl.li/hyhvmu,Completed,2/28/2026,
